reviewer,vote,hotel,city,nation
 Ida A,8.0,La Peonia B&B,Calabria,Italia
 marcopolotripper,10.0,La Peonia B&B,Calabria,Italia
ChiccoRimini,10.0,Bed and Breakfast Sweet Dream,Marina,Italia
 giorgia2005,8.0,Bed and Breakfast Sweet Dream,Marina,Italia
 Giada P,8.0,Bed and Breakfast Sweet Dream,Marina,Italia
Re P,2.0,Terme di Saturnia Residence, 58014 Poggio Murella,Italia
 Roberto,8.0,Terme di Saturnia Residence, 58014 Poggio Murella,Italia
 Giuseppe M,6.0,Terme di Saturnia Residence, 58014 Poggio Murella,Italia
 Gabriele S,8.0,Terme di Saturnia Residence, 58014 Poggio Murella,Italia
 MonniPenny87,6.0,Terme di Saturnia Residence, 58014 Poggio Murella,Italia
poleggi,10.0,Garnì Floreal,via Grohmann Strasse 67,Italia
 Alessandra V,10.0,Garnì Floreal,via Grohmann Strasse 67,Italia
 Francesco M,10.0,Garnì Floreal,via Grohmann Strasse 67,Italia
 SteCip75,10.0,Garnì Floreal,via Grohmann Strasse 67,Italia
 Mimmi-e-Gigi,10.0,Garnì Floreal,via Grohmann Strasse 67,Italia
Fallah70,2.0,Mini Hotel Baradello,Como,Italia
 djfargetta,8.0,Mini Hotel Baradello,Como,Italia
 LUCAMAROVINO,4.0,Mini Hotel Baradello,Como,Italia
 Gabriele753,2.0,Mini Hotel Baradello,Como,Italia
 alessandrobV4113RY,2.0,Mini Hotel Baradello,Como,Italia
Deprà B,8.0,B&B Porta Venezia,Via Loredan 36,Italia
 andrea s,10.0,B&B Porta Venezia,Via Loredan 36,Italia
 Lorenzo G,8.0,B&B Porta Venezia,Via Loredan 36,Italia
 giuliaturrizanoni,4.0,B&B Porta Venezia,Via Loredan 36,Italia
 jsevergnini2016,8.0,B&B Porta Venezia,Via Loredan 36,Italia
LuciaFr,10.0,Hotel Chalet del Brenta, 38086 Madonna di Campiglio,Italia
 Cesare C,10.0,Hotel Chalet del Brenta, 38086 Madonna di Campiglio,Italia
 frankino36,10.0,Hotel Chalet del Brenta, 38086 Madonna di Campiglio,Italia
 Maurizio CMR,8.0,Hotel Chalet del Brenta, 38086 Madonna di Campiglio,Italia
 letizia t,10.0,Hotel Chalet del Brenta, 38086 Madonna di Campiglio,Italia
Marco F,8.0,Orizzonte Blu Di Tropea Hotel, 89865 Santa Domenica,Italia
 Jet601352,10.0,Orizzonte Blu Di Tropea Hotel, 89865 Santa Domenica,Italia
 Jennita97,2.0,Orizzonte Blu Di Tropea Hotel, 89865 Santa Domenica,Italia
 Girolamo73,10.0,Orizzonte Blu Di Tropea Hotel, 89865 Santa Domenica,Italia
 Murano D,6.0,Orizzonte Blu Di Tropea Hotel, 89865 Santa Domenica,Italia
Piero P,8.0,Casa Bianca,Ligure,Italia
 Valentina P,10.0,Casa Bianca,Ligure,Italia
 vespagl63,4.0,Casa Bianca,Ligure,Italia
 Paolo R,4.0,Casa Bianca,Ligure,Italia
Simona A,10.0,Casa Relax Isabelle,Monopoli,Italia
 Pavel Raluca,10.0,Casa Relax Isabelle,Monopoli,Italia
 Queen8989,10.0,Casa Relax Isabelle,Monopoli,Italia
 Paola S,10.0,Casa Relax Isabelle,Monopoli,Italia
 Licia A,10.0,Casa Relax Isabelle,Monopoli,Italia
giagiampy,8.0,B&B Casa Fiorita,Trieste,Italia
Roberto C,8.0,Hotel Everest,Marina,Italia
 Mario D,10.0,Hotel Everest,Marina,Italia
 Angela M,8.0,Hotel Everest,Marina,Italia
 Antonello B,2.0,Hotel Everest,Marina,Italia
 Cristiano C,2.0,Hotel Everest,Marina,Italia
Alessandra Grossi,10.0,B&B Il Corbezzolo,Melendugno,Italia
 JEPPY10,10.0,B&B Il Corbezzolo,Melendugno,Italia
 Bruso74,10.0,B&B Il Corbezzolo,Melendugno,Italia
 zrxr,10.0,B&B Il Corbezzolo,Melendugno,Italia
 Mari25Lo,10.0,B&B Il Corbezzolo,Melendugno,Italia
Delia P,10.0,Le 2 Ville,Fiumicino,Italia
 Mimi L,10.0,Le 2 Ville,Fiumicino,Italia
 Flavia C,10.0,Le 2 Ville,Fiumicino,Italia
 LadyrmBee,10.0,Le 2 Ville,Fiumicino,Italia
 Micaela M,10.0,Le 2 Ville,Fiumicino,Italia
Cimax76,2.0,Hotel Gambrinus,Cesenatico,Italia
 Neer01,8.0,Hotel Gambrinus,Cesenatico,Italia
 Theodor00,2.0,Hotel Gambrinus,Cesenatico,Italia
 Tenerine,2.0,Hotel Gambrinus,Cesenatico,Italia
 Gis,2.0,Hotel Gambrinus,Cesenatico,Italia
giorgia7,10.0,Nereide,Via Libertà N6,Italia
 GIUSY1005,10.0,Nereide,Via Libertà N6,Italia
 raffaele d,10.0,Nereide,Via Libertà N6,Italia
 CoccinellaTropea,10.0,Nereide,Via Libertà N6,Italia
 Tommasino T,10.0,Nereide,Via Libertà N6,Italia
Gianni,6.0,Albermonaco,Trento,Italia
 silvia p,4.0,Albermonaco,Trento,Italia
 giventofly74it,4.0,Albermonaco,Trento,Italia
 Noi_viaggiatori,4.0,Albermonaco,Trento,Italia
 ugobillo,6.0,Albermonaco,Trento,Italia
rossy,2.0,Hotel Olympia,Senigallia,Italia
 Luigina R,8.0,Hotel Olympia,Senigallia,Italia
 jackoNapoli,8.0,Hotel Olympia,Senigallia,Italia
 LaTerry1984,10.0,Hotel Olympia,Senigallia,Italia
 Elena C,10.0,Hotel Olympia,Senigallia,Italia
gcatia,8.0,Grand Hotel Corallaro, Santa Teresa Gallura,Italia
 Marlisa P,10.0,Grand Hotel Corallaro, Santa Teresa Gallura,Italia
 Roberta C,8.0,Grand Hotel Corallaro, Santa Teresa Gallura,Italia
 Lorenzo Z,10.0,Grand Hotel Corallaro, Santa Teresa Gallura,Italia
 alessio142,10.0,Grand Hotel Corallaro, Santa Teresa Gallura,Italia
Beate M,10.0,Hotel Bellavista,Sabbiadoro,Italia
 Stefano B,10.0,Hotel Bellavista,Sabbiadoro,Italia
 Diana G,10.0,Hotel Bellavista,Sabbiadoro,Italia
 mariart2017,8.0,Hotel Bellavista,Sabbiadoro,Italia
 stella_salzmann,10.0,Hotel Bellavista,Sabbiadoro,Italia
Carmine A,8.0,Trecentonovantotto b&b,Lungomare Giovanni Caboto 398,Italia
 391luigim,6.0,Trecentonovantotto b&b,Lungomare Giovanni Caboto 398,Italia
 AliMaryB,6.0,Trecentonovantotto b&b,Lungomare Giovanni Caboto 398,Italia
 Chiara F,10.0,Trecentonovantotto b&b,Lungomare Giovanni Caboto 398,Italia
 whitefrog85,2.0,Trecentonovantotto b&b,Lungomare Giovanni Caboto 398,Italia
Lisa M,10.0,Hotel Ca'dei Barcaroli,Mestre,Italia
 Cosimo B,8.0,Hotel Ca'dei Barcaroli,Mestre,Italia
 Arianna R,10.0,Hotel Ca'dei Barcaroli,Mestre,Italia
 GlobeTrotting78551,8.0,Hotel Ca'dei Barcaroli,Mestre,Italia
 Stefano,10.0,Hotel Ca'dei Barcaroli,Mestre,Italia
Elisabetta C,10.0,Le Dimore di AnaSerena,Monopoli,Italia
 Luca D,10.0,Le Dimore di AnaSerena,Monopoli,Italia
 jmvdg,10.0,Le Dimore di AnaSerena,Monopoli,Italia
 valeenrico,10.0,Le Dimore di AnaSerena,Monopoli,Italia
 Luigi P,10.0,Le Dimore di AnaSerena,Monopoli,Italia
Smartina77,6.0,Zephiro Rta,Terme,Italia
 Maria Pia C,10.0,Zephiro Rta,Terme,Italia
arianna s,8.0,Villaggio Conca Specchiulla,Otranto,Italia
 Fabio Z,10.0,Villaggio Conca Specchiulla,Otranto,Italia
 Lucio Rombi,10.0,Villaggio Conca Specchiulla,Otranto,Italia
 Giovanni,10.0,Villaggio Conca Specchiulla,Otranto,Italia
 Giuseppe R,6.0,Villaggio Conca Specchiulla,Otranto,Italia
letizia5019,8.0,Porta Nuova, Marsala,Italia
 FrancescaM,8.0,Porta Nuova, Marsala,Italia
 Francescocosta1964,8.0,Porta Nuova, Marsala,Italia
 JessicaPDM,8.0,Porta Nuova, Marsala,Italia
 Dave L,8.0,Porta Nuova, Marsala,Italia
Italico T,10.0,Villa Le Ginepraie,Volterra,Italia
 Gabry A,10.0,Villa Le Ginepraie,Volterra,Italia
 Sara F,10.0,Villa Le Ginepraie,Volterra,Italia
 Simonaf,10.0,Villa Le Ginepraie,Volterra,Italia
 Francesca,10.0,Villa Le Ginepraie,Volterra,Italia
Evita B,6.0,Albachiara Apartments, Cefalù,Italia
Marco P,10.0,Apartments Residence Ariola,Gardena,Italia
 zeix500ze,8.0,Apartments Residence Ariola,Gardena,Italia
 RIS_65,8.0,Apartments Residence Ariola,Gardena,Italia
 RobyForchetta,10.0,Apartments Residence Ariola,Gardena,Italia
 Jopiposo,10.0,Apartments Residence Ariola,Gardena,Italia
racam017,8.0,Hotel Stefania,Cesenatico,Italia
 Krizia Bellotti,10.0,Hotel Stefania,Cesenatico,Italia
 Wendy,10.0,Hotel Stefania,Cesenatico,Italia
 Zoboli F,10.0,Hotel Stefania,Cesenatico,Italia
 Aliceborghetti,8.0,Hotel Stefania,Cesenatico,Italia
Cristina C,10.0,Hotel Villa Bolognani,Ligure,Italia
 Vincenzo B,10.0,Hotel Villa Bolognani,Ligure,Italia
 Marco P,8.0,Hotel Villa Bolognani,Ligure,Italia
 Cristina B.,10.0,Hotel Villa Bolognani,Ligure,Italia
 Claudia C,10.0,Hotel Villa Bolognani,Ligure,Italia
Gianni A,10.0,Area Sosta Eden Parking, 98035 Giardini Naxos,Italia
 roggeroelena,8.0,Area Sosta Eden Parking, 98035 Giardini Naxos,Italia
 Fabio F,4.0,Area Sosta Eden Parking, 98035 Giardini Naxos,Italia
 Lida F,8.0,Area Sosta Eden Parking, 98035 Giardini Naxos,Italia
 932andrear,2.0,Area Sosta Eden Parking, 98035 Giardini Naxos,Italia
Paolo T,10.0,Chalet Li Baita A,Livigno,Italia
vanessa b,10.0,Stefi's B&B,Lazise,Italia
 Ilaria F,10.0,Stefi's B&B,Lazise,Italia
 Agnolott,8.0,Stefi's B&B,Lazise,Italia
 ga752018,8.0,Stefi's B&B,Lazise,Italia
 joshina_imma,8.0,Stefi's B&B,Lazise,Italia
Erika,8.0,Hotel Victoria,Livigno,Italia
 Rocco G,10.0,Hotel Victoria,Livigno,Italia
 FrensiFrens,8.0,Hotel Victoria,Livigno,Italia
 focacci m,8.0,Hotel Victoria,Livigno,Italia
 Sarajane76,10.0,Hotel Victoria,Livigno,Italia
Mattia F,8.0,La Nuova Mandragora E Hotel Bel Sit, 74122 Talsano,Italia
 antonio a,2.0,La Nuova Mandragora E Hotel Bel Sit, 74122 Talsano,Italia
 NIKKOM,6.0,La Nuova Mandragora E Hotel Bel Sit, 74122 Talsano,Italia
 francesco_ta_1972,8.0,La Nuova Mandragora E Hotel Bel Sit, 74122 Talsano,Italia
 Balbons,4.0,La Nuova Mandragora E Hotel Bel Sit, 74122 Talsano,Italia
francescasainaghi,10.0,B&B Antares, Olbia,Italia
 Turecoro,10.0,B&B Antares, Olbia,Italia
 Marina_2244,10.0,B&B Antares, Olbia,Italia
 claudia f,10.0,B&B Antares, Olbia,Italia
 damelane,8.0,B&B Antares, Olbia,Italia
Sandro P,8.0,Hotel Piccola Versilia, 40100 Marina di Massa,Italia
 Borellhills,6.0,Hotel Piccola Versilia, 40100 Marina di Massa,Italia
 AnboComo,8.0,Hotel Piccola Versilia, 40100 Marina di Massa,Italia
 renzo1384,8.0,Hotel Piccola Versilia, 40100 Marina di Massa,Italia
 77chicco77,8.0,Hotel Piccola Versilia, 40100 Marina di Massa,Italia
MarFed98,10.0,Locanda del Gallo,Gubbio,Italia
 Marta M,10.0,Locanda del Gallo,Gubbio,Italia
 marina m,10.0,Locanda del Gallo,Gubbio,Italia
 lucamingori,10.0,Locanda del Gallo,Gubbio,Italia
 MarFed98,10.0,Locanda del Gallo,Gubbio,Italia
Cinzia T,8.0,Oasy Park,Otranto,Italia
 242gio64,8.0,Oasy Park,Otranto,Italia
 Tokina77,10.0,Oasy Park,Otranto,Italia
 Lucia M,10.0,Oasy Park,Otranto,Italia
 Vincze99,10.0,Oasy Park,Otranto,Italia
Alisa M,10.0,Bed Breakfast Santo Stefano, 9/11/13,Italia
Daniela A,2.0,Hotel Pulicinu, Arzachena,Italia
 Quentin T,2.0,Hotel Pulicinu, Arzachena,Italia
 maxbest8,8.0,Hotel Pulicinu, Arzachena,Italia
 Gianluca S,6.0,Hotel Pulicinu, Arzachena,Italia
 Paulis,8.0,Hotel Pulicinu, Arzachena,Italia
Mirko M,10.0,Viterbo di Barilari Litterio,Viterbo,Italia
roberta632016,10.0,Apartmenti Hacoli,Gardena,Italia
 Silvia F,10.0,Apartmenti Hacoli,Gardena,Italia
 GuidoP892,10.0,Apartmenti Hacoli,Gardena,Italia
 Silvia S,10.0,Apartmenti Hacoli,Gardena,Italia
 N4T4LI4,10.0,Apartmenti Hacoli,Gardena,Italia
Galiu59,8.0,Hotel Venezia,Garda,Italia
 GiuViaggiando,10.0,Hotel Venezia,Garda,Italia
 gesualda,6.0,Hotel Venezia,Garda,Italia
 Iaiab66,10.0,Hotel Venezia,Garda,Italia
 Alessandro B,10.0,Hotel Venezia,Garda,Italia
Pellegrino,2.0,La Torre del Moro,Fiumicino,Italia
 Cinzia M,8.0,La Torre del Moro,Fiumicino,Italia
 drfb,6.0,La Torre del Moro,Fiumicino,Italia
 lella8388,4.0,La Torre del Moro,Fiumicino,Italia
 Nino D,10.0,La Torre del Moro,Fiumicino,Italia
aragostastufata,6.0,Hotel Alsazia,Via Sardegna 1,Italia
 Fabio969,10.0,Hotel Alsazia,Via Sardegna 1,Italia
 Romina R,10.0,Hotel Alsazia,Via Sardegna 1,Italia
 Salvatore S,10.0,Hotel Alsazia,Via Sardegna 1,Italia
 Mauro B,8.0,Hotel Alsazia,Via Sardegna 1,Italia
Laura M,10.0,Ancora Hotel & Residence,Via Fiume 13,Italia
 ML740218,10.0,Ancora Hotel & Residence,Via Fiume 13,Italia
 Angela G,10.0,Ancora Hotel & Residence,Via Fiume 13,Italia
 Michela G,10.0,Ancora Hotel & Residence,Via Fiume 13,Italia
 Pino V,10.0,Ancora Hotel & Residence,Via Fiume 13,Italia
Federicaostrica87,2.0,B&B La Casetta,Tronto,Italia
katiabeltranostudio,10.0,Cooee Michelizia Tropea Resort,Via Carmine 71,Italia
 Anna M,10.0,Cooee Michelizia Tropea Resort,Via Carmine 71,Italia
 Angela L,10.0,Cooee Michelizia Tropea Resort,Via Carmine 71,Italia
 Fabrizio S,8.0,Cooee Michelizia Tropea Resort,Via Carmine 71,Italia
 Maria C,10.0,Cooee Michelizia Tropea Resort,Via Carmine 71,Italia
tricolore74,8.0,B&B Dimora Mungia,Pescara,Italia
 Lorenzo Battocchio,8.0,B&B Dimora Mungia,Pescara,Italia
 Vittorio C,6.0,B&B Dimora Mungia,Pescara,Italia
 Pietro R,2.0,B&B Dimora Mungia,Pescara,Italia
 Lclorenzo,10.0,B&B Dimora Mungia,Pescara,Italia
luca b,4.0,Le Dune Blu Resort,Calabria,Italia
 Martina Z,10.0,Le Dune Blu Resort,Calabria,Italia
 Floriana B,2.0,Le Dune Blu Resort,Calabria,Italia
 Valeriogargiulo,10.0,Le Dune Blu Resort,Calabria,Italia
 La castigatrice,8.0,Le Dune Blu Resort,Calabria,Italia
"Guerriero Luca B,2.0,""Albergo Ristorante """"I Cherubini"""""",Ravenna,Italia"
" Nakky84,2.0,""Albergo Ristorante """"I Cherubini"""""",Ravenna,Italia"
" Francesca F,2.0,""Albergo Ristorante """"I Cherubini"""""",Ravenna,Italia"
" martam44,2.0,""Albergo Ristorante """"I Cherubini"""""",Ravenna,Italia"
" Salvatore R,2.0,""Albergo Ristorante """"I Cherubini"""""",Ravenna,Italia"
Raf236,8.0,VerdeMare B&B, Taormina,Italia
 Max96ita,10.0,VerdeMare B&B, Taormina,Italia
 FurioSso2016,2.0,VerdeMare B&B, Taormina,Italia
 Kiara k,8.0,VerdeMare B&B, Taormina,Italia
 fabybuff,10.0,VerdeMare B&B, Taormina,Italia
ZaiCop,6.0,La Giada Apartments,Fiumicino,Italia
 Contessa Olaf,10.0,La Giada Apartments,Fiumicino,Italia
 Antonio80napoli,8.0,La Giada Apartments,Fiumicino,Italia
 Alberto A,6.0,La Giada Apartments,Fiumicino,Italia
 Massimo P,4.0,La Giada Apartments,Fiumicino,Italia
Mazzola F,10.0,La casa di Nonno Ciccillo,Calabria,Italia
 rareyf,10.0,La casa di Nonno Ciccillo,Calabria,Italia
 Agostina 1986,10.0,La casa di Nonno Ciccillo,Calabria,Italia
 Lois,8.0,La casa di Nonno Ciccillo,Calabria,Italia
 Vincenzo_DC,8.0,La casa di Nonno Ciccillo,Calabria,Italia
sguiscio,8.0,Village-Camping Le Diomedee,Vieste,Italia
 Gabriella P,10.0,Village-Camping Le Diomedee,Vieste,Italia
 ottoBronto,8.0,Village-Camping Le Diomedee,Vieste,Italia
 Michele73,8.0,Village-Camping Le Diomedee,Vieste,Italia
 gianfranco m.,2.0,Village-Camping Le Diomedee,Vieste,Italia
Helga R,6.0,Hotel del Bambino,Ligure,Italia
 micolrossi89,2.0,Hotel del Bambino,Ligure,Italia
 Romina C,4.0,Hotel del Bambino,Ligure,Italia
 Angela F,8.0,Hotel del Bambino,Ligure,Italia
 Francesco D,6.0,Hotel del Bambino,Ligure,Italia
settimopiano,8.0,Affittacamere La Selva,Via Selva 7 Via Eduardo De Filippo 7,Italia
 CardilloL,8.0,Affittacamere La Selva,Via Selva 7 Via Eduardo De Filippo 7,Italia
 brinchis,10.0,Affittacamere La Selva,Via Selva 7 Via Eduardo De Filippo 7,Italia
 Marco G,8.0,Affittacamere La Selva,Via Selva 7 Via Eduardo De Filippo 7,Italia
 wlasvegas,10.0,Affittacamere La Selva,Via Selva 7 Via Eduardo De Filippo 7,Italia
Barbora,10.0,Ca' Ottocento,Lazise,Italia
 Francesca V,10.0,Ca' Ottocento,Lazise,Italia
 antonella a,10.0,Ca' Ottocento,Lazise,Italia
 Lorella C,10.0,Ca' Ottocento,Lazise,Italia
 Carla M,10.0,Ca' Ottocento,Lazise,Italia
grazia66Viterbo,2.0,Savelletri Miramare, 72015 Savelletri,Italia
 Antonio G,2.0,Savelletri Miramare, 72015 Savelletri,Italia
 Giulio L,2.0,Savelletri Miramare, 72015 Savelletri,Italia
 Gaetano M,2.0,Savelletri Miramare, 72015 Savelletri,Italia
 Michelangelo73,2.0,Savelletri Miramare, 72015 Savelletri,Italia
saravasto,4.0,B&B Alice,Ferrara,Italia
 anna f,10.0,B&B Alice,Ferrara,Italia
 Raffaella Morri,10.0,B&B Alice,Ferrara,Italia
 ronkyf,4.0,B&B Alice,Ferrara,Italia
 valedepe,10.0,B&B Alice,Ferrara,Italia
sartorivargiu,10.0,Il Pioppo, 54100 Marina di Massa,Italia
 Serena G,8.0,Il Pioppo, 54100 Marina di Massa,Italia
 sorellemicla,8.0,Il Pioppo, 54100 Marina di Massa,Italia
Loredana P,8.0,Camping Merano,Merano,Italia
 ioRaffy73,10.0,Camping Merano,Merano,Italia
 Massimo Boz,8.0,Camping Merano,Merano,Italia
 KISSES71,8.0,Camping Merano,Merano,Italia
 Claudio A,8.0,Camping Merano,Merano,Italia
Fabio_Cremonini,10.0,Affittacamere Da Bianchina,Manciano,Italia
 Giacomo B,8.0,Affittacamere Da Bianchina,Manciano,Italia
 Paola R,6.0,Affittacamere Da Bianchina,Manciano,Italia
 Pilly93,8.0,Affittacamere Da Bianchina,Manciano,Italia
 Novi,10.0,Affittacamere Da Bianchina,Manciano,Italia
dani g,10.0,Le Terre di Nunzio,Montepulciano,Italia
 Melanie W,10.0,Le Terre di Nunzio,Montepulciano,Italia
 ex backpackers w,10.0,Le Terre di Nunzio,Montepulciano,Italia
lauraverona93,10.0,Minerva,Via Romanelli 38/A,Italia
 Stefano Macalli,8.0,Minerva,Via Romanelli 38/A,Italia
 Gruppobellavill... P,10.0,Minerva,Via Romanelli 38/A,Italia
 Mauro,10.0,Minerva,Via Romanelli 38/A,Italia
 jiowilly98,10.0,Minerva,Via Romanelli 38/A,Italia
udux,10.0,B&B Le 4 Stagioni,Nardo,Italia
 Alessio B,10.0,B&B Le 4 Stagioni,Nardo,Italia
 Eleonoraccc,10.0,B&B Le 4 Stagioni,Nardo,Italia
 Sara R,10.0,B&B Le 4 Stagioni,Nardo,Italia
 Federico Q,10.0,B&B Le 4 Stagioni,Nardo,Italia
Paolo D,10.0,Locanda del Furioso,Ferrara,Italia
 Maggie P,10.0,Locanda del Furioso,Ferrara,Italia
 Clara V,8.0,Locanda del Furioso,Ferrara,Italia
 Federico,10.0,Locanda del Furioso,Ferrara,Italia
 Carmy,10.0,Locanda del Furioso,Ferrara,Italia
Greta,10.0,Hotel Caesar, 47042 Valverde,Italia
 FFrency,10.0,Hotel Caesar, 47042 Valverde,Italia
 Stele2007,10.0,Hotel Caesar, 47042 Valverde,Italia
 Rossana P,10.0,Hotel Caesar, 47042 Valverde,Italia
 Izzyt84,10.0,Hotel Caesar, 47042 Valverde,Italia
antalonn,10.0,Europa Monetti, 38 - Ingresso parking,Italia
 gace82,10.0,Europa Monetti, 38 - Ingresso parking,Italia
 Luca C,10.0,Europa Monetti, 38 - Ingresso parking,Italia
 dandy2002,10.0,Europa Monetti, 38 - Ingresso parking,Italia
 Grullina16,10.0,Europa Monetti, 38 - Ingresso parking,Italia
Ramona,10.0,Il Boschetto,Marina,Italia
 mario t,10.0,Il Boschetto,Marina,Italia
 SildAr63,10.0,Il Boschetto,Marina,Italia
 Ciro F,10.0,Il Boschetto,Marina,Italia
 Luca M,10.0,Il Boschetto,Marina,Italia
giugc2017,10.0,Casa Vacanze Marsala, Marsala,Italia
 Donatella C,10.0,Casa Vacanze Marsala, Marsala,Italia
 Michela M,10.0,Casa Vacanze Marsala, Marsala,Italia
 Rino R,10.0,Casa Vacanze Marsala, Marsala,Italia
gtansu,10.0,Hotel Stefania Boutique Hotel sulla Spiaggia, Olbia,Italia
 Antonio,10.0,Hotel Stefania Boutique Hotel sulla Spiaggia, Olbia,Italia
 Debora,10.0,Hotel Stefania Boutique Hotel sulla Spiaggia, Olbia,Italia
 MERIS A,10.0,Hotel Stefania Boutique Hotel sulla Spiaggia, Olbia,Italia
 Giorgio M,10.0,Hotel Stefania Boutique Hotel sulla Spiaggia, Olbia,Italia
villa-family,8.0,Agricampeggio Terra di Moro,Ugento,Italia
 Fefantibus,10.0,Agricampeggio Terra di Moro,Ugento,Italia
 Nicola B,10.0,Agricampeggio Terra di Moro,Ugento,Italia
 Giorgia P,10.0,Agricampeggio Terra di Moro,Ugento,Italia
 antonio pignata,2.0,Agricampeggio Terra di Moro,Ugento,Italia
Fabio,10.0,B&B Novecento Siciliano, Noto,Italia
 Matilde h,10.0,B&B Novecento Siciliano, Noto,Italia
 Lorenzo,10.0,B&B Novecento Siciliano, Noto,Italia
 Dino095,10.0,B&B Novecento Siciliano, Noto,Italia
 Sabina61,10.0,B&B Novecento Siciliano, Noto,Italia
Teresa,10.0,Hotel Soraya,Tronto,Italia
 Gianni,6.0,Hotel Soraya,Tronto,Italia
 Arnaud F,10.0,Hotel Soraya,Tronto,Italia
 Daniela Ferrante,8.0,Hotel Soraya,Tronto,Italia
 Nicola M,8.0,Hotel Soraya,Tronto,Italia
GIULIO652,8.0,Hotel Oasi Neumann,Cortona,Italia
 Sara T,8.0,Hotel Oasi Neumann,Cortona,Italia
 loredana B,8.0,Hotel Oasi Neumann,Cortona,Italia
 Maxinviaggio,8.0,Hotel Oasi Neumann,Cortona,Italia
 Serena G,6.0,Hotel Oasi Neumann,Cortona,Italia
Franca Anna,6.0,Panorama,Garda,Italia
 giuseppe m,6.0,Panorama,Garda,Italia
 paola_roberto_bs,8.0,Panorama,Garda,Italia
 schumy78,10.0,Panorama,Garda,Italia
 luciano d,4.0,Panorama,Garda,Italia
Francesca C,8.0,Bed and Breakfast Sabrina,Cattolica,Italia
 Eva T,10.0,Bed and Breakfast Sabrina,Cattolica,Italia
 Gabriele,10.0,Bed and Breakfast Sabrina,Cattolica,Italia
 Donatella G,10.0,Bed and Breakfast Sabrina,Cattolica,Italia
 facchinikatia3,10.0,Bed and Breakfast Sabrina,Cattolica,Italia
Laura F,10.0,Hotel Annamaria,Cesenatico,Italia
 Stefania S,10.0,Hotel Annamaria,Cesenatico,Italia
 stereviews,10.0,Hotel Annamaria,Cesenatico,Italia
 Sara C,8.0,Hotel Annamaria,Cesenatico,Italia
 Mara Pelle,8.0,Hotel Annamaria,Cesenatico,Italia
LucianoMiglio,10.0,B&B Villa Sirami, Taormina,Italia
 Traveller8079,8.0,B&B Villa Sirami, Taormina,Italia
 Greta B,10.0,B&B Villa Sirami, Taormina,Italia
 Franco A,6.0,B&B Villa Sirami, Taormina,Italia
 alberto z,6.0,B&B Villa Sirami, Taormina,Italia
Federico F,6.0,Residence Cavour,Parma,Italia
 I S,6.0,Residence Cavour,Parma,Italia
 annagrollino,8.0,Residence Cavour,Parma,Italia
 Mario P,8.0,Residence Cavour,Parma,Italia
 Mirko N,6.0,Residence Cavour,Parma,Italia
Andreaasr90,10.0,B&B Campo delle Rose,Viterbo,Italia
 williamtacchi,10.0,B&B Campo delle Rose,Viterbo,Italia
 Enrico Locusta A,8.0,B&B Campo delle Rose,Viterbo,Italia
Rebecca Bianchi,8.0,Hotel Alpino,Malcesine,Italia
 GERMANO P,10.0,Hotel Alpino,Malcesine,Italia
 ambromiky,8.0,Hotel Alpino,Malcesine,Italia
 Barbara V,10.0,Hotel Alpino,Malcesine,Italia
 Fede25,8.0,Hotel Alpino,Malcesine,Italia
ELI,10.0,La Casa Sotto Il Castello,Via Filippo Scotti 4,Italia
BoardingPass761116,10.0,Hotel Columbia Wellness & SPA,Terme,Italia
 Daniele P,10.0,Hotel Columbia Wellness & SPA,Terme,Italia
 Gimmj T,10.0,Hotel Columbia Wellness & SPA,Terme,Italia
 ilaria p,10.0,Hotel Columbia Wellness & SPA,Terme,Italia
 Vale L,10.0,Hotel Columbia Wellness & SPA,Terme,Italia
iacopociatti,8.0,B&B Controvento, Marsala,Italia
 Francesca,10.0,B&B Controvento, Marsala,Italia
 Iaia P,8.0,B&B Controvento, Marsala,Italia
 uffa-67,8.0,B&B Controvento, Marsala,Italia
 MariaGraziaCt,10.0,B&B Controvento, Marsala,Italia
Alessia La Brasca,6.0,Campeggio Ciauli, Castellammare del Golfo,Italia
 LauraTorrenti,10.0,Campeggio Ciauli, Castellammare del Golfo,Italia
 Alon S,10.0,Campeggio Ciauli, Castellammare del Golfo,Italia
 Marika B,8.0,Campeggio Ciauli, Castellammare del Golfo,Italia
 Ilaria B,10.0,Campeggio Ciauli, Castellammare del Golfo,Italia
Onestly2014,2.0,BioBed,Pescara,Italia
 eddypeet,2.0,BioBed,Pescara,Italia
 Davide D,10.0,BioBed,Pescara,Italia
Aldo Arch,10.0,Fonte al Noce,Gubbio,Italia
 LeleniEpo,8.0,Fonte al Noce,Gubbio,Italia
 Explore572503,10.0,Fonte al Noce,Gubbio,Italia
 Vittoria Tomassini,10.0,Fonte al Noce,Gubbio,Italia
 Vasto1974,10.0,Fonte al Noce,Gubbio,Italia
Solara,10.0,HOTEL ONDINA,Viale Carducci 27,Italia
 Stefano B,8.0,HOTEL ONDINA,Viale Carducci 27,Italia
 infonovacapital,10.0,HOTEL ONDINA,Viale Carducci 27,Italia
 Roberto R,10.0,HOTEL ONDINA,Viale Carducci 27,Italia
 grazianomalvicini,10.0,HOTEL ONDINA,Viale Carducci 27,Italia
Flavia P P,8.0,Balocco Hotel, Arzachena,Italia
 Jordi Renú,4.0,Balocco Hotel, Arzachena,Italia
 pierpaolonardelli,10.0,Balocco Hotel, Arzachena,Italia
